"","Ctrl 1","Ctrl 2","Ctrl 3","Ctrl 4","Ctrl 5","Ctrl 6","Ctrl 7","Ctrl 8","Ctrl 9","Ctrl 10","HFD 11","HFD 12","HFD 13","HFD 14","HFD 15","HFD 16","HFD 17","HFD 18","HFD 19","HFD 20","Met 21","Met 22","Met 23","Met 24","Met 25","Met 26","Met 27","Met 28","Met 29","Met 30","Met 31"
"Actinobacteria",0.0009491335,0.0025389119,0.0038866903,0.0012181407,0.0025684464,0.0014975184,0.0011525163,0.0006210216,0.0034181021,0.001280353,0,0.00016253556,0.0003088962,0.0003937008,0.001034311,0.000630517,0.0026295828,0.0001613597,0.00736092647,0.0001601452,0.000543242,0.0022256951,0.0028605751,0.00196230356,0.008635579,0.0031097528,0.00074902359,0.00105152472,0.0032070648,0.004419494,0.003235135
"Bacteroidetes",0.38745741153,0.2017882801,0.19920165162,0.32664917265,0.03475599616,0.43646243486,0.36124981946,0.2970553228,0.29386568369,0.43068433115,0.01781609218,0.31028039432,0.1106363262,0.24375704721,0.064341256,0.03005464697,0.0271554994,0.10757314368,0.1247737458,0.38771150169,0.45105388061,0.48131836635,0.66205169911,0.44410017108,0.42792613048,0.3626079012,0.4547108365,0.47860550802,0.4519637461,0.37679172538,0.47081029282
"Firmicutes",0.16268851019,0.3042278357,0.3346756091,0.61361504616,0.86436415368,0.17161564644,0.20117812659,0.3190498373,0.32636041667,0.21867548596,0.9079501562,0.31084924444,0.3914229816,0.25106864822,0.29392252316,0.64575447356,0.5514032867,0.37322506832,0.79835892815,0.11263546378,0.20214036923,0.29478619086,0.28033635925,0.3774851599,0.50055361404,0.29633803695,0.18575785328,0.17932541232,0.2966767367,0.58707597496,0.30836721269
"Proteobacteria",0.011952051,0.061449017,0.02986799,0.00220202357,0.0940488502,8.557248e-05,0.0001280574,0,0.00022787349,0.010110375,0.0729885081,0.00268183678,0.0059205107,0.0202474727,0.0003209929,0.09184531309,0.069380531,0.021783564,0.05973211,0.0003736721,0.009832681,0.01870530521,0.009268265,0.00728117756,0.0252424651,0.05206156,0.0209726567,0.0933026,0.021101557,0.02359054289,0.0051958238
"Tenericutes",0.0007382149,0.007285572,0.01162506,0.03518553,0.00371605,0.004578128,0.0006829726,0.0001035036,0.004967642,0.001677704,0,0.08809427,0,0.004499438,0.03545189,0.02033417,0.0053097345,0.01866394,0,0.01062296,0.0008148631,0.0001894208,0,0.002013943,0.0003985652,0.005361643,0.003370606,0,0.0047873577,0,0.004607617
"Verrucomicrobia",0.43621470259,0.4227104286,0.4207429769,0.02113006472,0.0005464779,0.3857606989,0.4356084624,0.3831703152,0.371160358,0.33757175191,0.001245211,0.28793171,0.491711285,0.480033775,0.6049289905,0.2113808048,0.3441213653,0.478592953,0.00977434547,0.488496279,0.33561490831,0.2027750631,0.04548315061,0.1671572075,0.0372437001,0.2805211957,0.3344390576,0.247714941,0.222263537,0.008122312,0.20778391621
