Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria,Tenericutes,Verrucomicrobia
9.491335e-4,0.3874574115300001,0.16268851019000002,0.011952051,7.382149e-4,0.43621470259
0.0025389119,0.2017882801,0.3042278356999998,0.061449017,0.007285572,0.4227104286
0.0038866903,0.19920165162,0.3346756090999997,0.02986799,0.01162506,0.4207429769
0.0012181407,0.32664917265000004,0.6136150461599998,0.00220202357,0.03518553,0.021130064719999998
0.0025684464,0.034755996160000004,0.8643641536799999,0.0940488502,0.00371605,5.464779e-4
0.0014975184,0.4364624348600001,0.17161564643999994,8.557248e-5,0.004578128,0.38576069890000003
0.0011525162999999998,0.36124981946000007,0.20117812658999987,1.280574e-4,6.829726e-4,0.43560846239999995
6.210216e-4,0.29705532279999997,0.31904983729999997,0,1.035036e-4,0.38317031519999994
0.0034181021,0.29386568369,0.3263604166699997,2.2787349e-4,0.004967642,0.371160358
0.001280353,0.43068433114999993,0.21867548596000003,0.010110375,0.001677704,0.33757175190999994
