Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria,Tenericutes,Verrucomicrobia
5.43242e-4,0.45105388060999996,0.20214036923000006,0.009832681,8.148631e-4,0.33561490831
0.0022256951000000002,0.48131836634999997,0.29478619085999985,0.01870530521,1.894208e-4,0.20277506309999999
0.0028605751000000002,0.6620516991100001,0.28033635925,0.009268265,0,0.04548315061
0.0019623035600000002,0.44410017107999983,0.3774851598999999,0.00728117756,0.002013943,0.16715720750000002
0.0086355790000000009,0.42792613048,0.5005536140399999,0.0252424651,3.985652e-4,0.0372437001
0.0031097527999999998,0.3626079011999999,0.29633803694999966,0.05206156,0.005361643,0.28052119569999995
7.490235900000001e-4,0.4547108365,0.18575785328000002,0.0209726567,0.003370606,0.33443905760000003
0.00105152472,0.47860550802000007,0.17932541231999996,0.0933026,0,0.247714941
0.0032070647999999998,0.45196374610000006,0.2966767367,0.021101557,0.0047873577,0.22226353699999998
0.004419494,0.37679172538000005,0.5870759749600002,0.02359054289,0,0.008122312
0.003235135,0.47081029282000003,0.3083672126900002,0.0051958238,0.004607617,0.20778391621
