Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria,Tenericutes,Verrucomicrobia
0,0.017816092179999996,0.9079501562,0.0729885081,0,0.001245211
1.6253556e-4,0.31028039432,0.31084924444000006,0.00268183678,0.08809427,0.28793171
3.0889620000000003e-4,0.1106363262,0.39142298160000005,0.0059205107,0,0.49171128500000005
3.9370080000000003e-4,0.24375704721000005,0.2510686482200001,0.020247472699999998,0.004499438,0.48003377499999994
0.001034311,0.064341256,0.29392252315999984,3.209929e-4,0.03545189,0.6049289905
6.30517e-4,0.03005464696999999,0.6457544735600002,0.09184531308999999,0.02033417,0.2113808048
0.0026295828,0.027155499399999998,0.5514032866999998,0.069380531,0.0053097345,0.34412136530000004
1.613597e-4,0.10757314368000001,0.3732250683199999,0.021783564000000002,0.01866394,0.478592953
0.00736092647,0.12477374579999999,0.7983589281499996,0.05973211,0,0.009774345470000001
1.601452e-4,0.38771150169,0.11263546377999993,3.736721e-4,0.01062296,0.488496279
