Actinobacteria,Bacilli,Bacteriaunclassified,Bacteroidia,Betaproteobacteria,Clostridia,Erysipelotrichia,Firmicutesunclassified,Gammaproteobacteria,Mollicutes,Verrucomicrobiae
5.270370000000001e-4,0.0829029198,0.029830294099999998,0.43759881959999986,0.0082217772,0.10762095520000001,0.0042689997,0.0013175925,0.0013175925,7.905555e-4,0.32560345739999996
0.0021457266,0.07391344820000001,0.03592951,0.4640248393999999,0.01798758,0.17823228733999996,0.03204894752,0,4.565376e-5,1.82615e-4,0.19548940439999998
0.0027601437000000003,0.13265244980000002,0.03510903,0.63880756737,0.008942865,0.08683411505000004,0.051007455,0,0,0,0.04388628007
0.0019299137,0.17587607919999998,0.0165058405,0.4367699339000001,0.0071102082,0.17856780049999993,0.0168105637,0,5.07872e-5,0.0019807009,0.16439817159999998
0.0086355790000000009,0.26323019000000003,0,0.42792613048,0.02502104,0.18170143904000002,0.055621985,0,2.214251e-4,3.985652e-4,0.0372437001
0.0031097527999999998,0.16733690843,0,0.3626079011999999,0.01222455,0.09709935652000003,0.02637928,0.005522492,0.03983701,0.005361643,0.28052119569999995
7.489434600000001e-4,0.057722137300000004,1.069919e-4,0.45466216460000003,0.02075643,0.11779810822000003,0.004226181,0.005991548,2.139838e-4,0.003370246,0.3344032624
0.00105152472,0.0616759726,0,0.47860550802000007,0.0168244,0.10292809411999997,0.0025479255999999997,0.01217342,0.0764782,0,0.247714941
0.003117516,0.15361679209999998,0.027922103,0.4393439452999999,0.01956355,0.11557403165999995,0.016039403,0.003162698,9.488095e-4,0.004653685,0.2160574747
0.004419494,0.2032369823,0,0.37679172538000005,0.02353082,0.30679646816000006,0.07704252450000001,0,5.972289e-5,0,0.008122312
0.003165467,0.18422060346000002,0.02153477,0.46067147566000005,0.004892086,0.09558753086000008,0.0219184639,0,1.918465e-4,0.004508393,0.20330934896
