"","Ctrl 1","Ctrl 2","Ctrl 3","Ctrl 4","Ctrl 5","Ctrl 6","Ctrl 7","Ctrl 8","Ctrl 9","Ctrl 10","HFD 11","HFD 12","HFD 13","HFD 14","HFD 15","HFD 16","HFD 17","HFD 18","HFD 19","HFD 20","Met 21","Met 22","Met 23","Met 24","Met 25","Met 26","Met 27","Met 28","Met 29","Met 30","Met 31"
"Firmicutes",0,7.358081e-05,0,0.007964021,5.464779e-05,0,0.0001280246,0,0,0,0,0.008939456,0.0055601318,0,0.002888936,0,0.0021744627,0.003169146,0,0,0.0013175925,0,0,0,0,0.005522492,0.005991548,0.01217342,0.003162698,0,0
"Lachnospiraceae",0.03212879755,0.07093190322,0.02917308353,0.08142040836,0.0769987402,0.0199179356,0.01980113556,0.0796977697,0.0782517543,0.0344325277,0.00565134048,0.15237708098,0.0156507411,0.02346156252,0.01130608412,0.16755989949,0.0746396965,0.01589944585,0.11505973708,0.04039135662,0.0512279963,0.10806245942,0.04443830844,0.1099035042,0.06713609258,0.08149697546,0.04525758082,0.051039395,0.03555776332,0.13551122947,0.06369304544
"Lactobacillus",0.0826771686,0.1123578969,0.2152301863,0.3644711409,0.54194216779,0.134125525,0.1550378075,0.2151839776,0.1336705988,0.1194985326,0.85277774,0.01170255978,0.3172878913,0.1452488992,0.2425993194,0.3351723,0.3624273072,0.32534778,0.40418733,0.01454507,0.0781595868,0.0731373342,0.1305547406,0.175063484,0.241707671,0.16159995043,0.0509281505,0.0596942534,0.151267359,0.1893215533,0.18354914063
"Oscillibacter",0.0002109111,0.00434126741,0.0066461453,0.00796402098,0.0038253459,0.0005556505,0.0028165409,0.0008797806,0.0124874635,0.002957666,0.00019157088,0.0034132464,0.0164229818,0.0090150621,0.0025322776,0.009510299,0.0070290771,0.0056937212,0.0002413419,0.0039240308,0.0081690735,0.0199506902,0.00993651587,0.0094972066,0.001992826,0.002519973,0.0034772378,0.0008088652,0.00578321961,0.01755853,0.0058033575
"Parasutterella",0.004675197,0.001876311,0.01532111,4.684718e-05,0.0004918302,0,0,0,0.0001367241,0.00931444,0.0006704981,8.126778e-05,0.0057660626,0.0006159359,0,5.254309e-05,0,0.003545147,0.05973211,0.0003662429,0.0082217772,0.01798758,0.008942865,0.0071102082,0.02502104,0.01222455,0.02075643,0.0168244,0.01956355,0.02353082,0.004892086
"Porphyromonadaceae",0.01912261354,0.19693903464,0.14261228633,0.2305818283,0.03109459358,0.40853137765,0.31835446948,0.2947264918,0.13749885789,0.00949101692,0.01618773978,0.06078829432,0.1106363262,0.24139087936,0.06430559012,0.02984447458,0.0271554994,0.1049578422,0.1236877074,0.38000313363,0.235111205,0.46393353188,0.638145133,0.4365159979,0.42766042028,0.3613211072,0.4543411888,0.2379681215,0.4299913947,0.37643338808,0.45913670313
"Pseudoflavonifractor",0.0023551743,0.008314632,0.002973276,0.003419844,0.0003278868,4.274235e-05,0.0003840737,0.0020700719,0.007291952,0.007018938,9.578544e-05,0.0003250712,0.0007207578,0.003135674,0.0001069976,0.009773014,0.0016182048,0.0009668582,0,5.232041e-05,0.0032676294,0.001871804,0.00281534687,0.0009649568,0.011779815,0.0012867943,0.0001069919,8.088652e-05,0.001987982,0.002388915,0.0005755396
"Roseburia",0.002390326,0,0.0001049391,0.001592804,0.0002185912,0.0005129082,0.000298724,0.0001035036,9.114939e-05,0.0006180197,0,8.126778e-05,0,0,0,0,0,0,6.033547e-05,0,0,0.001871804,0.004581838,0.0001015744,0,0.0001072329,0,0,9.036281e-05,0,4.796163e-05
"Ruminococcaceae",0.010404949,0.01420109723,0.03302084525,0.06244729344,0.0795671901,0.0037613263,0.01250373384,0.0096775864,0.02916780889,0.0217631223,0.00067049806,0.0822429858,0.0140547776,0.0205498624,0.02353948304,0.07145859518,0.0777749683,0.0094537252,0.0069989137,0.00774342072,0.0084852957,0.01903761882,0.0056306928,0.0242254951,0.0726274297,0.00836416283,0.0141229339,0.00788643606,0.01481950201,0.0914357363,0.0097362115
"Staphylococcus",0.01019404,0.07383834,0.03214636,0.009744214,0.02338926,0.006240383,0.00157897,0.0013455468,0.004010573,0.02935594,0.03429119,0.019423,0.0132825371,0.02194972,0.0006776518,0.006357713,0.002528445,0.002524574,0.04549294,0.0003139225,0.0033730368,0.0006391527,0.001324869,0.0008125952,0.008547009,0.001394027,0.006473011,0.001011081,0.0009036281,0.01206402,0.0006235012
"Turicibacter",0.005202475,0.0005518561,0.0001399188,0.004544177,0.0006557735,0.002051633,0.0001280246,0.0001035036,0.0001822988,0,0.0001915709,0.002681837,0,0.0001679825,0.0001069976,0.0008406894,5.05689e-05,0.0006445722,0.0004826837,0.0001046408,0.0017392221,0.01269175,0.008170025,0.0107160995,0.001594261,0.02637928,0.002460814,0.002143493,0.01368997,0.0002388915,0.0164988
